ID_REF,GSM1684096,GSM1684098,GSM1684100,GSM1684102,GSM1684104,GSM1684095,GSM1684097,GSM1684099,GSM1684101,GSM1684103
ILMN_1343048,,,,,,,,,,
ILMN_1343049,,,,,,,,,,
ILMN_1343050,,,,,,,,,,
ILMN_1343052,,,,,,,,,,
ILMN_1343059,,,,,,,,,,
ILMN_1343061,,,,,,,,,,
ILMN_1343062,,,,,,,,,,
ILMN_1343063,,,,,,,,,,
ILMN_1343064,,,,,,,,,,
ILMN_1343291,22303.3,24776.1,26775.3,25980.2,26775.3,23599.3,25980.2,24776.1,25980.2,23599.3
ILMN_1343295,7732.65,5296.75,6430.16,4801.03,5654.94,6405.33,6553.48,7699.22,6648.16,8646.44
ILMN_1343296,,,,,,,,,,
ILMN_1343297,,,,,,,,,,
ILMN_1343298,,,,,,,,,,
ILMN_1343299,,,,,,,,,,
ILMN_1343300,,,,,,,,,,
ILMN_1343301,,,,,,,,,,
ILMN_1343302,,,,,,,,,,
ILMN_1343303,,,,,,,,,,
ILMN_1343304,,,,,,,,,,
ILMN_1343305,,,,,,,,,,
ILMN_1343306,,,,,,,,,,
ILMN_1343307,,,,,,,,,,
ILMN_1343308,,,,,,,,,,
ILMN_1343309,,,,,,,,,,
ILMN_1343310,,,,,,,,,,
ILMN_1343311,,,,,,,,,,
ILMN_1343312,,,,,,,,,,
ILMN_1343313,,,,,,,,,,
ILMN_1343314,,,,,,,,,,
ILMN_1343315,,,,,,,,,,
ILMN_1343316,,,,,,,,,,
ILMN_1343317,,,,,,,,,,
ILMN_1343318,,,,,,,,,,
ILMN_1343319,,,,,,,,,,
ILMN_1343320,,,,,,,,,,
ILMN_1343321,,,,,,,,,,
ILMN_1343322,,,,,,,,,,
ILMN_1343323,,,,,,,,,,
ILMN_1343324,,,,,,,,,,
ILMN_1343325,,,,,,,,,,
ILMN_1343326,,,,,,,,,,
ILMN_1343327,,,,,,,,,,
ILMN_1343328,,,,,,,,,,
ILMN_1343329,,,,,,,,,,
ILMN_1343330,,,,,,,,,,
ILMN_1343331,,,,,,,,,,
ILMN_1343332,,,,,,,,,,
ILMN_1343333,,,,,,,,,,
ILMN_1343334,,,,,,,,,,
ILMN_1343335,,,,,,,,,,
ILMN_1343336,,,,,,,,,,
ILMN_1343337,,,,,,,,,,
ILMN_1343338,,,,,,,,,,
ILMN_1343339,,,,,,,,,,
ILMN_1343340,,,,,,,,,,
ILMN_1343341,,,,,,,,,,
ILMN_1343342,,,,,,,,,,
ILMN_1343343,,,,,,,,,,
ILMN_1343344,,,,,,,,,,
ILMN_1343345,,,,,,,,,,
ILMN_1343346,,,,,,,,,,
ILMN_1343347,,,,,,,,,,
ILMN_1343348,,,,,,,,,,
ILMN_1343349,,,,,,,,,,
ILMN_1343350,,,,,,,,,,
ILMN_1343351,,,,,,,,,,
ILMN_1343352,,,,,,,,,,
ILMN_1343353,,,,,,,,,,
ILMN_1343354,,,,,,,,,,
ILMN_1343355,,,,,,,,,,
ILMN_1343356,,,,,,,,,,
ILMN_1343357,,,,,,,,,,
ILMN_1343358,,,,,,,,,,
ILMN_1343359,,,,,,,,,,
ILMN_1343360,,,,,,,,,,
ILMN_1343361,,,,,,,,,,
ILMN_1343362,,,,,,,,,,
ILMN_1343363,,,,,,,,,,
ILMN_1343364,,,,,,,,,,
ILMN_1343365,,,,,,,,,,
ILMN_1343366,,,,,,,,,,
ILMN_1343367,,,,,,,,,,
ILMN_1343368,,,,,,,,,,
ILMN_1343369,,,,,,,,,,
ILMN_1343370,,,,,,,,,,
ILMN_1343371,,,,,,,,,,
ILMN_1343372,,,,,,,,,,
ILMN_1343373,,,,,,,,,,
ILMN_1343374,,,,,,,,,,
ILMN_1343375,,,,,,,,,,
ILMN_1343376,,,,,,,,,,
ILMN_1343377,,,,,,,,,,
ILMN_1343378,,,,,,,,,,
ILMN_1343379,,,,,,,,,,
ILMN_1343380,,,,,,,,,,
ILMN_1343381,,,,,,,,,,
ILMN_1343382,,,,,,,,,,
ILMN_1343383,,,,,,,,,,
ILMN_1343384,,,,,,,,,,
ILMN_1343385,,,,,,,,,,
ILMN_1343386,,,,,,,,,,
ILMN_1343387,,,,,,,,,,
ILMN_1343388,,,,,,,,,,
ILMN_1343389,,,,,,,,,,
ILMN_1343390,,,,,,,,,,
ILMN_1343391,,,,,,,,,,
ILMN_1343392,,,,,,,,,,
ILMN_1343393,,,,,,,,,,
ILMN_1343394,,,,,,,,,,
ILMN_1343395,,,,,,,,,,
ILMN_1343396,,,,,,,,,,
ILMN_1343397,,,,,,,,,,
ILMN_1343398,,,,,,,,,,
ILMN_1343399,,,,,,,,,,
ILMN_1343400,,,,,,,,,,
ILMN_1343401,,,,,,,,,,
ILMN_1343402,,,,,,,,,,
ILMN_1343403,,,,,,,,,,
ILMN_1343404,,,,,,,,,,
ILMN_1343406,,,,,,,,,,
ILMN_1343407,,,,,,,,,,
ILMN_1343408,,,,,,,,,,
ILMN_1343409,,,,,,,,,,
ILMN_1343410,,,,,,,,,,
ILMN_1343411,,,,,,,,,,
ILMN_1343412,,,,,,,,,,
ILMN_1343413,,,,,,,,,,
ILMN_1343414,,,,,,,,,,
ILMN_1343415,,,,,,,,,,
ILMN_1343416,,,,,,,,,,
ILMN_1343417,,,,,,,,,,
ILMN_1343418,,,,,,,,,,
ILMN_1343419,,,,,,,,,,
ILMN_1343420,,,,,,,,,,
ILMN_1343421,,,,,,,,,,
ILMN_1343422,,,,,,,,,,
ILMN_1343423,,,,,,,,,,
ILMN_1343424,,,,,,,,,,
ILMN_1343425,,,,,,,,,,
ILMN_1343426,,,,,,,,,,
ILMN_1343427,,,,,,,,,,
ILMN_1343428,,,,,,,,,,
ILMN_1343429,,,,,,,,,,
ILMN_1343430,,,,,,,,,,
ILMN_1343431,,,,,,,,,,
ILMN_1343432,,,,,,,,,,
ILMN_1343433,,,,,,,,,,
ILMN_1343434,,,,,,,,,,
ILMN_1343435,,,,,,,,,,
ILMN_1343436,,,,,,,,,,
ILMN_1343437,,,,,,,,,,
ILMN_1343438,,,,,,,,,,
ILMN_1343439,,,,,,,,,,
ILMN_1343440,,,,,,,,,,
ILMN_1343441,,,,,,,,,,
ILMN_1343442,,,,,,,,,,
ILMN_1343443,,,,,,,,,,
ILMN_1343444,,,,,,,,,,
ILMN_1343445,,,,,,,,,,
ILMN_1343446,,,,,,,,,,
